session_id,user_id,session_start,session_end,source,medium,device_category
session_43,440,2023-03-18 08:18:38,2023-05-22 17:35:02,direct,email,desktop
session_44,343,2023-10-26 03:30:26,2023-10-26 06:00:26,google,email,tablet
session_45,14,2023-02-16 14:36:25,2023-05-17 17:23:36,google,referral,desktop
session_46,274,2021-08-07 14:01:12,2022-12-26 06:52:30,social,referral,mobile
session_47,308,2023-10-07 18:29:44,2023-10-07 20:56:44,social,organic,desktop
session_48,492,2022-03-15 03:46:08,2022-03-15 06:39:08,bing,email,tablet
session_49,476,2021-12-29 16:03:05,2021-12-29 17:04:05,direct,referral,tablet
session_50,192,2021-06-14 19:37:09,2021-06-14 20:36:09,direct,referral,tablet
session_51,4,2021-07-11 16:13:16,2022-08-22 22:46:16,direct,referral,desktop
session_52,28,2021-08-21 21:38:36,2021-08-21 22:30:36,social,cpc,desktop
session_53,160,2023-07-02 05:28:53,2023-07-02 05:31:53,google,cpc,desktop
session_54,188,2023-12-03 07:39:00,2023-12-03 10:00:00,bing,organic,desktop
session_55,465,2021-02-23 22:37:41,2022-03-07 09:37:14,google,cpc,tablet
session_56,451,2023-10-01 16:13:08,2023-10-01 16:50:08,direct,organic,tablet
session_57,252,2022-11-18 06:46:48,2022-11-18 08:07:48,direct,referral,tablet
session_58,419,2023-07-14 19:45:27,2023-07-14 22:20:27,social,referral,tablet
session_59,337,2023-01-10 12:53:40,2023-01-10 15:23:40,google,email,desktop
session_60,143,2021-07-15 03:06:09,2023-06-20 09:51:58,google,referral,mobile
session_61,289,2022-12-02 19:54:26,2022-12-02 21:48:26,google,referral,desktop
session_62,67,2021-03-17 02:06:28,2023-10-24 14:41:35,direct,email,desktop
session_63,79,2023-06-06 20:07:09,2023-06-06 21:16:09,google,email,desktop
session_64,421,2023-03-27 06:06:55,2023-03-27 06:55:55,social,cpc,mobile
session_65,75,2021-06-02 01:43:10,2023-10-15 06:39:09,direct,email,mobile
session_66,83,2021-12-13 17:29:51,2021-12-13 19:06:51,social,email,tablet
session_67,39,2022-11-24 13:24:39,2022-11-24 14:42:39,social,organic,desktop
session_68,80,2022-08-14 06:55:55,2022-08-14 09:07:55,direct,organic,desktop
session_69,485,2021-12-18 03:37:01,2022-04-29 02:19:42,social,referral,tablet
session_70,121,2023-06-29 12:21:42,2023-10-22 11:35:49,social,referral,tablet
session_71,304,2022-02-25 18:20:52,2023-09-04 09:46:00,google,organic,tablet
session_72,150,2021-12-23 23:44:31,2022-07-13 16:29:05,social,email,mobile
session_73,134,2022-11-26 21:33:25,2022-11-26 23:18:25,direct,referral,mobile
session_74,16,2021-10-16 03:59:59,2022-05-22 14:37:24,direct,cpc,desktop
session_75,21,2023-08-28 11:49:46,2023-08-28 12:36:46,google,cpc,mobile
session_76,374,2021-02-15 16:50:43,2022-10-23 19:35:40,google,email,mobile
session_77,246,2021-05-26 08:52:44,2021-12-03 03:57:15,google,email,mobile
session_78,297,2021-09-06 19:06:03,2022-03-08 04:59:01,google,email,mobile
session_79,74,2021-06-26 07:15:28,2021-06-26 09:49:28,social,cpc,desktop
session_80,369,2023-01-22 11:34:26,2023-01-22 13:55:26,social,cpc,desktop
session_81,30,2022-05-07 13:14:35,2023-05-24 01:22:48,google,email,desktop
session_82,233,2022-02-26 11:07:19,2023-03-11 19:50:03,direct,organic,desktop
session_83,226,2023-05-09 21:22:29,2023-05-09 22:27:29,bing,cpc,mobile
session_84,137,2022-04-28 04:42:51,2022-04-28 05:00:51,bing,organic,tablet
session_85,480,2022-02-22 07:03:52,2022-02-22 09:17:52,google,cpc,desktop
session_86,384,2023-10-20 22:41:28,2023-10-21 00:38:28,google,organic,desktop
session_87,396,2021-04-06 16:27:58,2021-08-11 13:56:57,social,cpc,mobile
session_88,217,2022-12-18 21:26:39,2022-12-18 22:12:39,direct,referral,tablet
session_89,388,2023-06-26 19:49:54,2023-06-26 21:55:54,social,organic,tablet
session_90,264,2022-12-14 13:01:29,2023-11-17 15:57:57,bing,cpc,tablet
session_91,127,2021-03-14 23:49:58,2022-04-23 20:44:41,direct,cpc,tablet
session_92,263,2021-05-15 00:56:31,2022-04-04 20:27:26,bing,cpc,tablet
session_93,202,2023-05-28 00:02:31,2023-05-28 01:53:31,google,email,mobile
session_94,315,2021-07-19 13:13:56,2021-07-19 15:06:56,google,organic,tablet
session_95,165,2021-02-25 20:49:29,2022-12-11 14:38:16,social,cpc,mobile
session_96,54,2021-09-15 04:38:04,2022-04-24 11:49:45,google,referral,tablet
session_97,152,2022-01-28 04:11:54,2022-01-28 06:16:54,bing,organic,desktop
session_98,345,2022-11-10 09:31:24,2022-11-10 11:59:24,bing,email,mobile
session_99,188,2022-12-31 22:11:32,2023-05-20 05:26:58,direct,cpc,desktop
session_100,341,2021-05-22 14:49:46,2022-10-18 16:03:49,google,email,mobile
session_101,146,2022-05-16 13:22:37,2022-05-16 14:36:37,google,cpc,tablet
session_102,87,2021-06-07 18:28:32,2023-11-29 11:57:33,direct,email,mobile
session_103,5,2021-11-28 02:13:48,2021-11-28 03:27:48,direct,organic,mobile
session_104,326,2022-03-08 10:39:15,2022-04-24 12:18:42,social,organic,mobile
session_105,388,2022-03-23 12:02:39,2023-10-17 07:06:36,google,referral,tablet
session_106,455,2022-07-17 19:20:29,2023-08-29 20:48:34,bing,email,mobile
session_107,403,2022-12-02 12:30:18,2022-12-02 14:14:18,social,referral,mobile
session_108,398,2022-04-30 13:15:31,2022-07-27 14:45:02,bing,email,desktop
session_109,342,2023-03-13 07:03:04,2023-03-13 07:32:04,bing,email,mobile
session_110,35,2021-11-22 02:13:36,2023-01-09 05:09:07,direct,organic,desktop
session_111,210,2021-09-22 08:34:50,2022-08-27 00:38:48,google,cpc,mobile
session_112,419,2022-05-03 18:09:01,2022-05-03 20:35:01,bing,cpc,tablet
session_113,485,2023-04-02 03:02:21,2023-10-03 11:00:56,direct,referral,tablet
session_114,370,2023-01-18 14:29:44,2023-09-09 09:11:39,google,email,desktop
session_115,107,2023-02-02 17:13:22,2023-02-02 20:01:22,direct,email,tablet
session_116,364,2023-11-05 20:46:24,2023-11-05 22:42:24,social,organic,mobile
session_117,316,2022-09-17 17:06:03,2022-09-17 19:59:03,direct,email,mobile
session_118,249,2023-01-04 22:54:36,2023-01-05 01:18:36,google,cpc,tablet
session_119,274,2023-07-01 07:10:25,2023-09-26 04:07:10,direct,cpc,tablet
session_120,482,2021-08-18 16:36:52,2022-12-03 03:35:16,social,cpc,mobile
session_121,436,2023-05-03 15:46:49,2023-05-03 16:43:49,bing,organic,desktop
session_122,163,2023-09-01 11:16:03,2023-09-01 11:49:03,google,cpc,tablet
session_123,152,2022-12-04 23:35:11,2023-05-18 21:51:06,direct,organic,desktop
session_124,458,2022-08-20 02:00:30,2022-08-20 02:32:30,social,referral,mobile
session_125,418,2023-08-14 03:12:25,2023-08-14 04:09:25,social,email,tablet
session_126,419,2022-10-29 02:39:58,2023-03-09 05:13:58,social,referral,tablet
session_127,404,2022-01-10 19:19:01,2023-09-28 07:56:47,direct,referral,mobile
session_128,356,2022-06-01 10:08:16,2022-06-01 12:12:16,google,cpc,desktop
session_129,201,2022-01-21 19:11:23,2022-01-21 20:05:23,bing,referral,desktop
session_130,114,2023-10-20 04:38:40,2023-10-20 07:06:40,direct,cpc,mobile
session_131,331,2021-01-23 12:20:44,2022-02-25 05:50:08,bing,organic,desktop
session_132,186,2021-07-23 22:42:48,2021-07-24 01:12:48,bing,organic,mobile
session_133,78,2022-08-25 20:01:46,2022-08-25 20:07:46,bing,referral,desktop
session_134,47,2021-07-11 05:12:38,2022-10-27 01:01:28,bing,referral,mobile
session_135,401,2022-04-01 16:25:36,2023-10-08 09:32:36,bing,organic,tablet
session_136,428,2023-11-02 03:26:17,2023-11-02 05:41:17,google,referral,desktop
session_137,38,2022-01-12 18:14:14,2023-11-29 09:44:47,direct,organic,mobile
session_138,487,2023-03-10 16:45:58,2023-03-10 16:52:58,social,referral,tablet
session_139,91,2021-01-14 17:05:19,2022-04-30 19:31:44,bing,cpc,mobile
session_140,171,2022-01-13 18:03:23,2022-09-23 13:31:22,bing,referral,mobile
session_141,165,2022-01-17 04:00:52,2023-03-13 22:47:04,direct,organic,tablet
session_142,140,2022-10-06 14:25:42,2023-12-27 12:18:18,google,organic,tablet
session_143,130,2021-04-14 15:09:13,2022-06-02 18:09:09,google,email,tablet
session_144,98,2023-05-22 23:17:11,2023-05-22 23:25:11,google,referral,mobile
session_145,314,2021-06-01 20:35:45,2023-03-12 19:07:18,google,cpc,desktop
session_146,136,2021-04-14 01:10:38,2022-09-29 22:50:28,social,referral,desktop
session_147,371,2022-07-19 12:29:47,2023-10-08 19:55:20,social,cpc,desktop
session_148,311,2023-02-07 00:37:39,2023-03-06 10:30:07,direct,referral,tablet
session_149,82,2022-07-17 04:30:39,2022-07-17 05:05:39,direct,referral,tablet
session_150,266,2021-12-03 11:39:53,2022-09-19 02:38:47,google,organic,tablet
session_151,212,2021-08-02 22:46:14,2023-02-02 09:15:50,google,email,tablet
session_152,187,2023-07-29 03:32:31,2023-07-29 04:23:31,google,cpc,desktop
session_153,258,2022-09-25 05:28:29,2022-09-25 07:40:29,google,organic,desktop
session_154,361,2021-03-02 18:12:47,2021-04-16 08:36:09,direct,organic,desktop
session_155,176,2021-08-21 19:10:26,2022-07-13 19:07:53,google,organic,tablet
session_156,328,2021-06-29 09:41:21,2023-08-29 14:05:05,direct,email,desktop
session_157,111,2023-10-07 09:40:23,2023-10-07 11:17:23,social,email,mobile
session_158,232,2023-12-14 19:44:29,2023-12-14 20:28:29,bing,email,desktop
session_159,218,2022-01-09 02:23:30,2022-11-15 05:08:09,social,email,desktop
session_160,428,2023-10-12 13:31:12,2023-10-12 15:04:12,google,referral,mobile
session_161,19,2023-09-25 09:24:45,2023-09-25 10:48:45,social,cpc,mobile
session_162,372,2022-08-24 14:23:51,2023-03-12 23:56:25,direct,email,tablet
session_163,221,2021-03-14 10:41:18,2022-11-28 10:33:57,direct,cpc,desktop
session_164,284,2022-03-21 13:26:19,2023-08-19 04:36:42,google,organic,desktop
session_165,198,2023-02-09 16:37:22,2023-03-24 03:47:46,google,referral,tablet
session_166,467,2022-09-17 03:46:39,2022-09-17 05:11:39,direct,organic,mobile
session_167,341,2021-01-10 12:56:46,2021-04-20 05:49:07,social,organic,desktop
session_168,231,2022-04-16 04:40:22,2022-04-16 05:38:22,bing,email,tablet
session_169,186,2023-02-14 00:55:32,2023-02-14 02:05:32,bing,organic,mobile
session_170,131,2023-07-15 18:23:24,2023-07-15 21:19:24,social,organic,mobile
session_171,438,2022-06-12 07:46:45,2022-06-12 09:18:45,direct,cpc,mobile
session_172,164,2021-07-18 02:09:48,2021-07-18 03:06:48,google,referral,tablet
session_173,2,2022-02-09 04:21:00,2022-07-04 10:39:48,bing,cpc,desktop
session_174,46,2021-06-08 22:30:14,2021-12-23 05:25:43,bing,cpc,desktop
session_175,43,2023-11-21 10:24:36,2023-11-21 12:03:36,social,referral,mobile
session_176,282,2022-03-22 07:01:32,2023-12-28 10:33:23,google,cpc,desktop
session_177,69,2023-11-03 20:51:50,2023-11-03 21:14:50,google,organic,mobile
session_178,187,2022-11-29 03:59:11,2022-11-29 05:23:11,google,organic,tablet
session_179,3,2023-11-26 20:52:30,2023-11-26 20:58:30,google,email,mobile
session_180,492,2022-11-17 22:18:21,2022-11-17 23:27:21,social,email,tablet
session_181,418,2021-11-16 12:22:42,2021-11-16 13:37:42,google,email,tablet
session_182,156,2022-02-23 09:10:49,2022-02-23 11:00:49,direct,organic,desktop
session_183,40,2023-11-16 10:40:29,2023-11-16 12:27:29,direct,organic,tablet
session_184,202,2023-03-17 13:44:02,2023-03-17 16:40:02,google,referral,desktop
session_185,23,2021-05-26 00:49:58,2021-08-10 22:47:51,social,referral,desktop
session_186,29,2023-03-24 21:39:09,2023-03-24 23:32:09,bing,organic,desktop
session_187,100,2022-09-06 07:24:44,2022-09-06 09:49:44,google,organic,mobile
session_188,379,2023-09-18 18:55:57,2023-09-18 19:29:57,direct,organic,mobile
session_189,325,2023-10-31 14:54:04,2023-10-31 17:16:04,direct,email,tablet
session_190,286,2021-08-28 21:01:18,2023-06-01 08:05:54,social,cpc,mobile
session_191,156,2022-11-15 08:26:22,2022-11-15 10:43:22,social,email,mobile
session_192,410,2023-03-13 18:03:05,2023-03-13 18:27:05,direct,organic,mobile
session_193,146,2023-09-07 10:42:26,2023-09-07 10:58:26,direct,referral,mobile
session_194,460,2021-01-24 12:57:54,2022-05-15 09:16:05,bing,referral,mobile
session_195,58,2022-11-26 01:04:05,2023-06-11 03:51:08,social,referral,tablet
session_196,263,2022-09-07 00:09:40,2023-05-19 11:45:20,direct,cpc,mobile
session_197,48,2023-01-04 22:14:35,2023-11-25 04:11:18,social,email,tablet
session_198,10,2021-09-12 06:41:59,2023-12-09 00:43:53,direct,cpc,desktop
session_199,284,2022-01-30 12:50:07,2023-06-23 09:52:51,google,referral,mobile
session_200,462,2021-10-25 15:27:25,2023-04-09 10:08:19,social,cpc,mobile
session_201,107,2023-04-01 03:58:49,2023-04-01 05:21:49,bing,referral,desktop
session_202,500,2021-01-27 04:37:13,2023-03-03 12:43:35,bing,referral,mobile
session_203,171,2021-12-05 06:34:29,2023-04-12 10:07:33,social,referral,desktop
session_204,170,2021-04-05 21:27:50,2022-05-01 08:50:49,bing,cpc,mobile
session_205,188,2021-02-12 19:38:29,2023-01-12 13:11:43,direct,cpc,mobile
session_206,52,2023-05-18 06:31:51,2023-05-18 08:54:51,direct,referral,mobile
session_207,190,2022-12-30 11:16:29,2022-12-30 13:48:29,social,referral,mobile
session_208,30,2023-08-04 01:25:38,2023-08-04 01:26:38,bing,organic,tablet
session_209,410,2022-04-01 11:40:21,2023-03-23 04:37:46,direct,organic,mobile
session_210,494,2023-11-10 07:10:08,2023-11-10 09:26:08,direct,referral,mobile
session_211,78,2023-03-31 17:27:35,2023-03-31 17:52:35,bing,cpc,mobile
session_212,172,2022-12-20 17:19:41,2022-12-20 18:05:41,social,referral,tablet
session_213,173,2021-03-14 14:39:52,2022-11-26 19:22:42,direct,organic,desktop
session_214,148,2022-03-05 07:17:13,2022-06-14 04:45:42,google,email,desktop
session_215,280,2023-02-05 17:38:39,2023-02-05 18:17:39,google,organic,mobile
session_216,101,2023-01-28 15:35:06,2023-01-28 16:01:06,social,referral,tablet
session_217,251,2022-06-07 03:00:00,2023-04-01 08:55:32,bing,email,mobile
session_218,207,2021-10-02 17:18:07,2021-10-02 17:56:07,bing,cpc,desktop
session_219,234,2022-03-02 17:31:25,2023-11-12 14:24:16,direct,email,tablet
session_220,471,2022-12-01 00:10:17,2022-12-01 01:01:17,bing,referral,desktop
session_221,50,2022-09-07 10:00:03,2023-11-22 06:29:18,social,referral,desktop
session_222,248,2021-07-19 15:04:20,2023-10-03 02:27:38,google,email,mobile
session_223,49,2022-04-09 05:38:41,2023-12-01 22:40:27,social,email,tablet
session_224,435,2023-07-23 10:45:43,2023-11-25 09:00:26,social,organic,mobile
session_225,375,2021-07-02 16:45:32,2021-07-02 16:51:32,social,referral,tablet
session_226,135,2022-10-08 01:55:30,2023-08-22 13:17:20,social,email,tablet
session_227,363,2021-03-18 16:47:14,2023-10-13 17:34:03,social,organic,mobile
session_228,143,2023-08-13 22:02:26,2023-08-13 23:32:26,google,cpc,desktop
session_229,406,2021-04-16 16:55:26,2023-07-29 05:35:22,bing,organic,desktop
session_230,24,2023-07-10 22:41:34,2023-07-10 22:51:34,bing,cpc,desktop
session_231,406,2021-08-16 00:22:13,2022-01-13 13:42:44,direct,email,mobile
session_232,331,2022-03-07 01:56:20,2023-01-30 08:30:26,google,cpc,desktop
session_233,320,2021-08-19 05:04:39,2021-12-10 05:46:45,direct,email,tablet
session_234,489,2022-09-22 09:04:10,2022-09-22 09:39:10,google,email,mobile
session_235,451,2021-09-04 20:34:38,2021-09-04 22:07:38,social,email,desktop
session_236,318,2021-05-02 10:34:52,2022-06-07 19:31:01,social,email,desktop
session_237,494,2021-01-28 09:15:08,2023-02-06 09:15:45,google,cpc,mobile
session_238,128,2021-10-03 17:02:10,2022-09-24 14:55:00,bing,cpc,tablet
session_239,475,2021-05-18 12:40:36,2023-12-24 21:17:25,social,referral,mobile
session_240,174,2022-12-07 13:49:58,2023-04-26 04:36:05,social,referral,tablet
session_241,177,2021-12-30 17:10:26,2023-02-28 16:06:58,direct,email,desktop
session_242,1,2023-05-11 13:17:33,2023-05-11 15:09:33,bing,organic,mobile
session_243,466,2023-11-24 14:01:50,2023-11-24 15:16:50,social,email,tablet
session_244,132,2021-07-25 20:32:10,2022-10-12 15:03:23,bing,organic,desktop
session_245,475,2023-06-28 10:33:30,2023-06-28 12:24:30,social,organic,mobile
session_246,467,2021-05-26 00:38:47,2023-04-15 04:17:09,social,cpc,desktop
session_247,373,2022-04-22 06:43:40,2022-07-11 06:53:45,direct,organic,tablet
session_248,33,2023-11-27 16:02:56,2023-11-27 18:11:56,bing,cpc,tablet
session_249,265,2023-04-29 02:55:27,2023-04-29 05:24:27,bing,email,mobile
session_250,45,2022-05-04 01:09:40,2022-05-04 02:55:40,direct,email,mobile
session_251,397,2022-04-13 22:06:53,2022-08-06 13:14:25,google,organic,mobile
session_252,300,2021-12-20 02:07:39,2022-05-22 05:23:50,social,cpc,mobile
session_253,458,2023-05-30 08:37:49,2023-05-30 09:00:49,google,email,tablet
session_254,189,2022-09-25 09:44:34,2022-09-25 11:10:34,bing,email,mobile
session_255,117,2023-05-29 03:05:18,2023-05-29 05:20:18,social,email,tablet
session_256,110,2023-01-29 15:02:07,2023-01-29 17:53:07,social,cpc,desktop
session_257,185,2023-09-20 07:47:57,2023-09-20 09:57:57,direct,cpc,tablet
session_258,487,2022-05-29 19:23:02,2023-02-08 11:24:57,social,cpc,desktop
session_259,440,2021-11-02 16:19:14,2023-03-08 21:40:32,bing,referral,mobile
session_260,165,2021-09-07 16:17:04,2023-10-14 19:37:01,bing,cpc,desktop
session_261,335,2023-01-06 23:18:09,2023-08-06 13:19:06,google,email,desktop
session_262,329,2023-07-13 04:03:01,2023-07-13 05:55:01,google,cpc,tablet
session_263,135,2023-12-02 23:47:45,2023-12-03 01:15:45,direct,referral,tablet
session_264,65,2021-03-16 14:54:35,2021-06-25 20:56:06,bing,organic,tablet
session_265,142,2021-01-09 09:11:22,2021-04-11 16:14:11,bing,referral,desktop
session_266,291,2023-03-14 18:04:22,2023-03-14 19:23:22,direct,referral,mobile
session_267,65,2021-02-16 04:13:48,2023-05-20 07:30:02,social,referral,mobile
session_268,190,2022-11-17 05:07:22,2022-11-17 05:32:22,bing,cpc,tablet
session_269,28,2022-03-01 11:01:09,2022-03-01 12:23:09,direct,email,tablet
session_270,150,2023-10-07 00:25:13,2023-10-07 01:43:13,google,referral,desktop
session_271,292,2021-06-02 06:45:02,2023-05-23 15:03:01,google,referral,tablet
session_272,104,2022-03-02 12:19:39,2022-03-02 14:23:39,direct,referral,tablet
session_273,324,2023-11-18 02:25:24,2023-11-18 02:55:24,direct,email,mobile
session_274,253,2022-07-27 22:32:25,2023-10-26 19:26:57,bing,cpc,mobile
session_275,438,2021-05-01 19:05:59,2023-08-05 10:42:17,google,email,mobile
session_276,449,2021-11-01 17:16:51,2023-01-06 13:18:46,bing,organic,mobile
session_277,33,2021-12-22 17:56:05,2021-12-22 18:00:05,google,email,tablet
session_278,485,2023-03-14 21:04:15,2023-03-14 21:36:15,bing,email,desktop
session_279,312,2023-10-10 12:24:34,2023-10-10 13:48:34,direct,cpc,mobile
session_280,377,2022-07-20 03:25:05,2022-07-20 03:47:05,bing,organic,tablet
session_281,73,2022-08-14 11:13:22,2022-08-14 12:42:22,social,organic,tablet
session_282,25,2021-03-16 10:29:24,2021-11-21 03:11:43,google,email,tablet
session_283,246,2022-04-01 21:51:57,2022-08-03 14:56:31,social,email,tablet
session_284,359,2022-01-02 12:53:51,2022-02-27 08:08:54,bing,email,mobile
session_285,244,2023-08-13 22:27:31,2023-12-03 09:40:04,social,referral,mobile
session_286,477,2023-08-15 04:51:15,2023-08-15 06:47:15,direct,referral,tablet
session_287,133,2022-11-10 17:25:04,2023-01-30 03:28:48,google,referral,mobile
session_288,385,2022-08-31 19:08:06,2022-09-14 22:02:40,bing,referral,tablet
session_289,241,2021-10-23 13:25:05,2022-10-26 12:36:11,social,email,desktop
session_290,222,2022-05-24 02:04:13,2022-09-05 15:27:28,social,email,desktop
session_291,323,2022-04-10 06:19:36,2022-04-10 08:22:36,bing,cpc,tablet
session_292,292,2023-05-28 08:52:12,2023-05-28 10:20:12,direct,organic,desktop
session_293,323,2022-09-07 09:50:34,2022-09-07 10:38:34,social,cpc,tablet
session_294,211,2023-04-02 11:44:36,2023-04-02 14:21:36,bing,email,desktop
session_295,2,2022-04-16 22:34:58,2022-04-16 23:36:58,direct,organic,desktop
session_296,153,2023-08-25 12:51:41,2023-08-25 13:06:41,bing,referral,desktop
session_297,182,2021-06-02 22:07:48,2021-11-10 13:37:22,bing,cpc,tablet
session_298,355,2022-07-27 23:54:17,2022-07-28 02:33:17,bing,referral,desktop
session_299,136,2022-02-28 17:40:15,2023-03-30 19:21:26,social,referral,mobile
session_300,371,2023-02-21 13:41:53,2023-06-18 04:50:56,direct,organic,mobile
session_301,445,2021-05-05 14:48:49,2021-05-05 15:50:49,direct,cpc,mobile
session_302,138,2022-08-04 22:44:17,2023-05-08 04:58:28,social,referral,desktop
session_303,145,2023-05-18 19:43:45,2023-05-18 19:50:45,google,cpc,tablet
session_304,234,2022-09-07 23:34:00,2022-09-08 02:24:00,bing,email,tablet
session_305,422,2022-06-10 18:52:38,2022-06-10 21:30:38,social,organic,tablet
session_306,10,2021-06-20 21:01:12,2023-03-01 13:32:14,direct,email,mobile
session_307,278,2022-04-01 16:35:53,2023-03-25 16:33:24,bing,cpc,tablet
session_308,487,2021-04-19 20:09:23,2023-05-11 07:04:58,social,email,tablet
session_309,132,2022-11-26 12:10:24,2022-11-26 14:11:24,bing,email,tablet
session_310,500,2022-08-05 09:17:46,2023-06-02 20:14:18,social,organic,mobile
session_311,187,2023-03-26 00:23:46,2023-03-26 01:04:46,direct,email,tablet
session_312,189,2023-05-28 08:32:51,2023-05-28 10:10:51,google,organic,tablet
session_313,6,2022-05-25 10:53:46,2022-05-25 11:24:46,direct,email,mobile
session_314,405,2022-10-28 05:40:26,2022-10-28 06:03:26,social,cpc,tablet
session_315,44,2022-02-20 02:35:11,2022-03-18 13:38:18,bing,referral,mobile
session_316,283,2021-07-13 12:42:45,2021-07-21 02:42:38,bing,cpc,mobile
session_317,121,2021-12-15 14:25:17,2022-10-09 02:39:17,bing,cpc,mobile
session_318,64,2021-11-16 04:40:44,2022-11-22 13:49:11,social,cpc,mobile
session_319,180,2023-09-03 22:30:25,2023-09-04 00:09:25,bing,referral,mobile
session_320,446,2022-12-19 15:19:52,2022-12-19 15:46:52,bing,organic,tablet
session_321,92,2022-05-20 15:02:27,2022-05-20 15:52:27,bing,referral,tablet
session_322,206,2021-11-05 23:52:48,2022-01-13 13:03:34,google,email,tablet
session_323,468,2023-01-21 18:17:25,2023-06-04 03:18:55,social,referral,desktop
session_324,5,2022-07-10 02:43:48,2022-07-10 04:03:48,direct,organic,tablet
session_325,353,2022-05-12 09:07:30,2022-05-12 10:19:30,social,referral,tablet
session_326,389,2021-02-12 12:56:14,2023-05-23 16:22:51,bing,email,tablet
session_327,199,2023-01-02 12:07:53,2023-01-02 14:12:53,google,organic,tablet
session_328,457,2022-01-07 16:57:09,2022-07-12 12:53:45,social,email,mobile
session_329,472,2023-07-19 23:09:07,2023-07-20 00:19:07,social,cpc,mobile
session_330,318,2023-02-19 16:16:43,2023-02-19 17:46:43,direct,organic,desktop
session_331,188,2021-05-12 17:34:40,2022-09-07 07:54:40,direct,cpc,desktop
session_332,190,2023-10-23 18:19:39,2023-10-23 20:51:39,direct,email,mobile
session_333,192,2023-07-11 22:52:42,2023-07-12 01:32:42,social,organic,desktop
session_334,474,2023-01-18 18:28:53,2023-07-22 23:19:00,direct,organic,mobile
session_335,484,2022-12-26 01:06:42,2023-12-02 04:33:10,direct,email,tablet
session_336,30,2023-12-30 22:32:23,2023-12-30 22:55:23,social,organic,desktop
