history_id,card_id,point_change,change_date,order_id,order_type
96,184,672,2022-11-10,2228,mobile_order
97,91,-665,2021-12-30,2359,ec_order
98,15,761,2021-10-15,2931,ec_order
99,50,520,2022-01-22,2119,mobile_order
100,229,419,2022-08-19,2762,qr_order
101,295,5,2022-02-09,62,qr_order
102,36,42,2023-09-20,674,ec_order
103,190,-4,2023-03-01,1827,ec_order
104,68,-222,2022-06-11,2720,mobile_order
105,2,-591,2022-07-14,775,mobile_order
106,112,-547,2023-12-24,385,ec_order
107,36,964,2023-08-25,1778,mobile_order
108,236,-798,2021-08-03,1686,mobile_order
109,174,465,2021-01-16,649,ec_order
110,62,593,2023-01-04,1448,qr_order
111,83,-1000,2022-10-22,1356,qr_order
112,47,447,2023-09-14,1850,mobile_order
113,249,359,2021-01-30,480,ec_order
114,103,725,2023-09-29,996,mobile_order
115,234,-92,2023-12-03,831,ec_order
116,105,889,2022-03-09,583,mobile_order
117,54,918,2023-12-27,2815,qr_order
118,111,160,2023-06-26,100,mobile_order
119,140,594,2021-07-08,69,mobile_order
120,296,847,2022-01-23,905,qr_order
121,61,-247,2023-12-02,781,ec_order
122,156,-727,2023-11-20,2165,mobile_order
123,126,849,2021-06-22,2131,ec_order
124,143,937,2023-04-04,1654,ec_order
125,6,-24,2021-05-17,1004,qr_order
126,133,-241,2021-06-15,2051,ec_order
127,246,777,2021-05-01,1332,mobile_order
128,154,-195,2022-09-07,2142,qr_order
129,243,967,2022-09-27,2445,qr_order
130,236,881,2023-07-04,922,mobile_order
131,129,-78,2022-11-25,1179,ec_order
132,203,-778,2022-01-12,343,ec_order
133,185,-493,2022-11-11,1964,mobile_order
134,199,-312,2022-09-23,2669,qr_order
135,283,-549,2022-10-31,1112,qr_order
136,283,-221,2021-04-25,1389,ec_order
137,192,-938,2023-09-20,1685,qr_order
138,112,-964,2021-12-07,2513,ec_order
139,267,-425,2023-07-22,855,qr_order
140,169,-749,2022-02-10,2919,ec_order
141,250,759,2021-03-16,3,qr_order
142,258,-420,2023-02-07,817,qr_order
143,283,-449,2022-10-21,1487,qr_order
144,143,949,2021-09-04,1983,ec_order
145,181,-420,2023-06-21,2166,qr_order
146,127,88,2021-02-06,2890,mobile_order
147,216,-984,2021-03-18,591,ec_order
148,73,973,2023-09-05,640,ec_order
149,2,403,2023-08-26,2759,ec_order
150,113,771,2022-09-22,274,qr_order
151,36,755,2023-12-12,560,mobile_order
152,232,-82,2021-06-20,1215,ec_order
153,213,-982,2022-04-14,1985,ec_order
154,143,502,2021-04-22,2034,qr_order
155,201,673,2022-05-22,2162,mobile_order
156,86,527,2022-06-26,1136,mobile_order
157,289,976,2023-04-07,28,ec_order
158,253,-248,2021-05-11,1328,mobile_order
159,267,-448,2022-07-25,721,qr_order
160,136,188,2023-08-27,1887,mobile_order
161,97,-93,2023-02-11,1666,mobile_order
162,105,-486,2023-02-13,877,mobile_order
163,100,178,2023-11-25,859,ec_order
164,250,746,2023-06-02,2387,qr_order
165,291,668,2023-05-22,2070,qr_order
166,198,-193,2023-07-29,2123,qr_order
167,82,176,2021-06-12,2223,ec_order
168,69,784,2023-11-27,2543,mobile_order
169,225,-455,2022-08-17,2998,ec_order
170,248,-98,2023-05-18,1318,ec_order
171,99,-558,2021-11-26,2309,qr_order
172,43,-814,2023-05-03,1604,mobile_order
173,130,9,2021-12-16,1705,qr_order
174,114,-606,2021-06-24,252,qr_order
175,123,-423,2022-01-17,1422,qr_order
176,111,-502,2021-10-31,2959,ec_order
177,30,-35,2023-06-04,1116,ec_order
178,237,712,2022-07-09,825,qr_order
179,80,862,2023-03-10,2372,ec_order
180,271,-802,2023-05-15,610,ec_order
181,42,19,2021-09-30,1650,mobile_order
182,140,593,2023-02-18,218,qr_order
183,260,265,2021-10-16,2797,ec_order
184,200,543,2022-12-13,460,ec_order
185,51,29,2021-12-18,2797,mobile_order
186,63,-752,2022-08-01,2811,qr_order
187,122,859,2022-10-10,612,ec_order
188,227,-575,2023-06-03,1218,qr_order
189,217,691,2023-05-05,1074,mobile_order
190,207,899,2022-07-17,1484,qr_order
191,109,-627,2023-03-31,186,mobile_order
192,250,-669,2023-04-05,186,mobile_order
193,93,-426,2021-09-05,28,ec_order
194,56,-908,2021-02-11,783,ec_order
195,241,80,2022-04-28,2414,mobile_order
196,172,723,2021-07-09,2912,mobile_order
197,100,-741,2023-09-17,2033,mobile_order
198,293,-15,2022-07-25,1289,qr_order
199,30,123,2023-08-20,2657,qr_order
200,1,16,2021-03-19,2996,ec_order
201,37,-192,2022-09-17,1515,qr_order
202,116,-889,2021-07-13,2033,qr_order
203,115,697,2023-05-05,350,mobile_order
204,89,471,2023-06-05,446,qr_order
205,246,888,2023-12-19,2183,qr_order
206,9,-93,2023-08-13,1648,mobile_order
207,220,506,2021-07-17,571,mobile_order
208,167,840,2022-11-19,260,qr_order
209,131,-10,2023-03-16,712,ec_order
210,278,-940,2021-09-04,1147,qr_order
211,108,176,2023-08-12,2768,mobile_order
212,136,652,2022-04-30,345,qr_order
213,157,-734,2023-09-21,174,ec_order
214,42,665,2021-01-29,2921,ec_order
215,155,-406,2023-06-22,23,mobile_order
216,163,791,2021-01-02,2048,qr_order
217,143,536,2021-07-21,1047,ec_order
218,141,897,2023-09-12,420,ec_order
219,245,177,2021-08-13,243,qr_order
220,130,445,2022-05-14,1314,qr_order
221,104,-820,2022-09-16,2981,qr_order
222,49,939,2023-12-28,2414,qr_order
223,122,448,2021-08-12,1006,qr_order
224,5,349,2022-01-13,155,ec_order
225,128,393,2023-05-01,2375,mobile_order
226,16,631,2023-06-17,1842,qr_order
227,299,980,2021-03-14,463,mobile_order
228,66,245,2021-10-15,239,qr_order
229,173,-745,2022-04-18,1906,qr_order
230,290,-415,2022-02-17,485,mobile_order
231,189,588,2022-08-15,2299,mobile_order
232,288,-923,2021-05-23,1196,qr_order
233,95,-617,2023-03-02,765,mobile_order
234,76,-666,2022-11-22,37,mobile_order
235,106,224,2021-08-08,2667,qr_order
236,136,-324,2023-11-13,2204,mobile_order
237,294,698,2021-11-08,2542,ec_order
238,256,244,2022-11-06,176,mobile_order
239,46,972,2021-04-22,2985,mobile_order
240,1,681,2023-02-22,592,mobile_order
241,9,250,2023-01-21,2929,ec_order
242,48,103,2021-08-12,2174,mobile_order
243,130,-969,2022-07-08,220,ec_order
244,126,887,2023-03-04,2291,qr_order
245,176,-9,2022-08-15,1442,mobile_order
246,75,-460,2021-05-13,1049,ec_order
247,172,945,2022-03-26,2594,qr_order
248,46,-715,2022-09-15,2169,mobile_order
249,19,-657,2023-02-04,1720,mobile_order
250,29,-618,2023-06-13,548,ec_order
251,59,257,2021-01-13,2453,mobile_order
252,127,48,2021-05-11,1883,ec_order
253,295,501,2021-06-22,2302,mobile_order
254,171,-870,2021-09-29,1208,qr_order
255,105,369,2021-10-14,68,qr_order
256,162,432,2023-03-10,1350,ec_order
257,110,-39,2021-04-22,1583,ec_order
258,98,990,2023-05-03,2479,qr_order
259,170,70,2022-09-14,181,mobile_order
260,87,-330,2023-07-12,2767,ec_order
261,30,-687,2022-06-02,2890,qr_order
262,212,941,2021-02-11,608,qr_order
263,59,-718,2023-07-21,2215,ec_order
264,137,476,2021-05-01,1799,ec_order
265,201,-732,2023-06-18,289,ec_order
266,276,-1000,2022-05-01,855,qr_order
267,125,955,2022-03-09,2343,mobile_order
268,281,153,2021-11-08,2270,qr_order
269,190,-75,2021-02-26,2974,mobile_order
270,234,-1000,2021-01-13,2319,qr_order
271,191,144,2021-02-26,883,ec_order
272,226,587,2023-10-26,2796,mobile_order
273,268,628,2021-04-09,2160,mobile_order
274,277,-223,2022-04-05,2119,mobile_order
275,157,-328,2022-02-24,2300,qr_order
276,149,504,2023-05-14,474,mobile_order
277,9,-422,2021-05-19,385,ec_order
278,132,-324,2021-11-14,2892,ec_order
279,63,-461,2023-03-05,1901,mobile_order
280,135,-642,2021-10-11,2179,mobile_order
281,243,-85,2023-12-22,583,qr_order
282,156,536,2023-12-15,558,ec_order
283,201,-348,2023-05-18,2027,ec_order
284,150,-873,2022-01-28,8,ec_order
285,142,-903,2021-04-15,2972,qr_order
286,235,-10,2022-01-28,1886,ec_order
287,36,24,2023-09-28,283,ec_order
288,111,52,2022-05-28,2667,mobile_order
289,175,857,2022-06-19,1337,qr_order
290,44,682,2023-01-17,372,qr_order
291,136,-907,2021-09-11,2026,mobile_order
292,45,-686,2021-03-14,2578,mobile_order
293,202,888,2021-06-01,380,ec_order
294,261,491,2021-10-01,1007,qr_order
295,148,203,2023-07-19,1033,mobile_order
296,220,426,2021-05-15,813,qr_order
297,139,-891,2021-10-28,2304,qr_order
298,158,32,2023-07-15,2325,mobile_order
299,78,283,2023-03-03,1185,ec_order
300,156,-514,2023-08-26,1648,ec_order
301,13,-84,2023-02-03,2905,qr_order
302,169,-245,2022-06-15,1274,mobile_order
303,241,911,2021-01-16,2143,qr_order
304,63,-636,2023-01-05,2705,qr_order
305,176,38,2021-04-23,1815,qr_order
306,26,-103,2021-07-19,1639,qr_order
307,57,-551,2022-06-07,280,ec_order
308,76,248,2021-09-28,1631,ec_order
309,169,-396,2023-03-30,265,mobile_order
310,106,280,2021-02-02,1625,qr_order
311,282,-514,2021-07-10,230,qr_order
312,161,-761,2022-03-10,82,mobile_order
313,5,-607,2021-02-04,257,ec_order
314,94,306,2022-06-28,838,qr_order
315,202,470,2021-10-16,1983,qr_order
316,26,913,2021-12-06,876,ec_order
317,95,-413,2021-08-22,1254,mobile_order
318,23,-64,2023-02-02,32,ec_order
319,293,-168,2023-11-30,258,mobile_order
320,206,-935,2022-06-08,1150,mobile_order
321,107,192,2022-10-03,1390,mobile_order
322,72,327,2021-10-13,2065,ec_order
323,296,589,2023-07-23,2503,mobile_order
324,27,180,2021-01-11,1863,qr_order
325,221,851,2021-09-09,84,mobile_order
326,254,-23,2022-10-18,785,qr_order
327,10,837,2023-01-19,1115,qr_order
328,187,-437,2021-07-28,575,ec_order
329,216,-1,2023-01-11,170,qr_order
330,287,420,2021-06-07,1283,qr_order
331,233,845,2022-11-01,2143,ec_order
332,61,-367,2021-02-06,819,mobile_order
333,51,866,2021-07-17,2712,ec_order
334,93,564,2022-08-10,841,mobile_order
335,296,-225,2023-07-31,956,ec_order
336,51,-3,2023-09-06,1577,qr_order
337,102,262,2023-04-24,390,qr_order
338,59,-311,2023-08-31,2909,mobile_order
339,60,-28,2023-04-01,1733,mobile_order
340,45,675,2023-06-08,1970,ec_order
341,125,-651,2021-02-18,2620,mobile_order
342,111,1000,2021-05-28,1086,qr_order
343,103,-45,2023-08-13,1206,mobile_order
344,274,760,2023-12-30,2318,qr_order
345,277,148,2021-12-28,1878,ec_order
346,259,-993,2021-06-21,2624,qr_order
347,9,-496,2021-02-23,1499,ec_order
348,123,-305,2023-11-01,762,mobile_order
349,131,-483,2021-04-06,310,ec_order
350,266,-380,2021-07-06,2557,ec_order
351,139,923,2022-08-07,370,ec_order
352,172,806,2021-12-15,1168,ec_order
353,75,-749,2021-05-31,1289,qr_order
354,123,105,2021-03-06,82,ec_order
355,264,215,2022-02-09,1363,qr_order
356,197,777,2021-01-27,2324,qr_order
357,88,145,2023-02-28,2467,qr_order
358,41,36,2022-09-22,1481,ec_order
359,179,-191,2022-10-07,1351,ec_order
360,204,9,2023-12-06,667,ec_order
361,285,923,2023-02-06,2376,mobile_order
362,291,740,2022-04-02,393,mobile_order
363,232,492,2023-10-15,2780,qr_order
364,239,-462,2023-11-08,2325,qr_order
365,83,-207,2023-03-14,1174,ec_order
366,32,94,2021-02-16,2351,mobile_order
367,180,116,2023-06-20,99,qr_order
368,26,699,2022-03-09,675,mobile_order
369,134,243,2021-11-28,958,ec_order
370,248,-337,2021-09-22,120,mobile_order
371,29,484,2021-05-26,1108,ec_order
372,31,-994,2022-11-09,251,ec_order
373,47,-21,2021-11-13,2294,ec_order
374,186,60,2023-05-10,2659,qr_order
375,111,936,2021-03-12,2618,ec_order
376,32,416,2022-11-29,2993,qr_order
377,100,-57,2022-06-02,637,qr_order
378,151,-206,2023-02-01,2831,ec_order
379,257,-788,2023-08-15,214,ec_order
380,141,-459,2021-04-16,1642,qr_order
381,76,751,2021-03-18,2465,mobile_order
382,68,680,2022-09-24,394,mobile_order
383,61,970,2021-08-06,144,mobile_order
384,27,646,2023-02-12,2551,ec_order
385,250,-574,2023-10-29,2325,qr_order
386,255,812,2022-09-01,2034,qr_order
387,243,861,2023-10-11,89,mobile_order
388,189,403,2022-01-06,1353,ec_order
389,188,-362,2021-03-28,401,mobile_order
390,38,445,2021-02-16,1029,qr_order
391,257,-610,2022-03-07,928,ec_order
392,13,-186,2022-04-18,403,ec_order
393,49,350,2022-10-15,705,mobile_order
394,109,718,2021-05-31,2224,mobile_order
395,170,-595,2022-03-24,2766,ec_order
396,140,481,2022-08-26,1144,mobile_order
397,115,559,2023-08-20,2033,qr_order
398,253,458,2023-07-30,1103,ec_order
399,203,672,2021-04-03,1224,qr_order
400,21,781,2021-08-11,926,qr_order
401,293,-814,2021-02-19,2029,qr_order
402,257,69,2022-12-01,1505,qr_order
403,275,-724,2021-09-10,83,mobile_order
404,5,593,2021-09-15,2394,qr_order
405,6,-630,2021-03-25,730,qr_order
406,133,-234,2021-10-16,1163,mobile_order
407,54,-778,2021-04-05,1065,qr_order
408,46,433,2021-05-16,2012,ec_order
409,253,-931,2021-08-14,1095,ec_order
410,290,-827,2022-05-04,2849,mobile_order
411,260,-329,2023-12-08,2056,mobile_order
412,99,973,2023-10-08,2885,qr_order
413,119,-671,2023-06-05,550,mobile_order
414,263,489,2021-08-13,2798,ec_order
415,24,998,2022-12-24,1457,ec_order
416,189,-289,2021-09-19,2020,qr_order
417,259,543,2023-12-25,2154,ec_order
418,115,754,2023-05-17,2164,qr_order
419,24,9,2021-10-31,2129,ec_order
420,22,-853,2023-11-13,835,ec_order
421,13,-728,2021-08-21,2286,mobile_order
422,197,-896,2023-08-13,1213,ec_order
423,27,59,2023-02-10,425,qr_order
424,299,284,2021-05-19,1912,ec_order
425,169,26,2021-12-17,1376,mobile_order
426,205,964,2022-09-25,2330,ec_order
427,132,-242,2023-03-16,1790,ec_order
428,73,-168,2023-10-20,984,qr_order
429,101,350,2021-10-30,2960,mobile_order
430,173,-847,2022-12-02,2199,ec_order
431,40,-266,2023-04-04,941,ec_order
432,17,571,2021-08-09,2612,mobile_order
433,264,822,2022-02-10,1405,qr_order
434,231,-884,2022-12-19,2553,qr_order
435,80,-833,2022-06-16,720,ec_order
436,232,-65,2023-04-06,1845,qr_order
437,144,475,2021-02-24,891,mobile_order
438,292,580,2023-03-23,378,qr_order
439,179,936,2023-09-13,919,qr_order
440,273,418,2021-11-22,801,ec_order
441,91,-321,2023-05-27,2123,mobile_order
442,265,78,2023-07-12,2945,ec_order
443,227,-940,2022-02-15,1785,ec_order
444,174,671,2021-06-19,1913,mobile_order
445,43,-595,2021-03-02,1210,qr_order
446,119,710,2021-04-05,541,ec_order
447,271,-690,2023-09-24,1468,mobile_order
448,253,-521,2021-06-20,1063,ec_order
449,274,-626,2022-02-10,1303,mobile_order
450,230,620,2022-10-04,985,mobile_order
451,1,-492,2023-11-30,375,ec_order
452,111,-827,2021-07-05,166,mobile_order
453,165,-910,2021-04-29,724,mobile_order
454,117,-224,2021-07-29,2267,qr_order
455,290,923,2021-08-13,843,qr_order
456,170,-846,2022-12-04,1236,mobile_order
457,288,165,2021-03-17,2085,mobile_order
458,178,-412,2021-07-22,565,mobile_order
459,242,-732,2023-08-06,2111,ec_order
460,264,582,2022-05-07,1920,ec_order
461,47,295,2021-08-02,1937,mobile_order
462,28,-337,2021-08-02,764,mobile_order
463,46,621,2021-10-17,1197,qr_order
464,286,-637,2023-03-28,2245,qr_order
465,213,-254,2022-12-23,2959,ec_order
466,28,-174,2022-01-09,1403,ec_order
467,66,875,2023-12-18,1923,qr_order
468,128,-528,2022-11-28,2081,qr_order
469,190,271,2022-04-21,1748,ec_order
470,195,227,2022-03-05,2446,qr_order
471,231,-293,2022-05-19,2346,mobile_order
472,92,-834,2022-01-09,1645,mobile_order
473,130,451,2021-02-19,2066,qr_order
474,10,-420,2022-10-22,1445,ec_order
475,275,347,2021-01-20,1898,qr_order
476,226,-484,2022-05-06,332,qr_order
477,259,729,2021-05-24,184,qr_order
478,119,672,2021-04-03,431,mobile_order
479,204,-873,2021-07-17,2502,ec_order
480,287,541,2023-04-17,1602,ec_order
481,74,164,2022-01-23,109,mobile_order
482,157,-973,2023-12-11,1538,mobile_order
483,185,-379,2023-06-26,2579,mobile_order
484,164,610,2023-11-29,1151,ec_order
485,46,-356,2022-07-03,486,qr_order
486,97,-433,2022-05-02,366,ec_order
487,223,753,2023-03-07,2210,ec_order
488,236,-696,2021-08-13,1748,mobile_order
489,177,243,2022-04-01,1980,ec_order
490,210,868,2022-11-07,2518,mobile_order
491,177,645,2022-12-15,2959,mobile_order
492,203,629,2023-09-15,2814,ec_order
493,51,-578,2022-08-06,1106,qr_order
494,295,229,2021-11-04,664,qr_order
495,233,106,2023-12-18,2494,mobile_order
496,192,554,2021-04-22,1315,qr_order
497,20,558,2022-06-23,2817,qr_order
498,141,-727,2021-05-12,2602,ec_order
499,260,985,2022-02-16,1390,mobile_order
500,229,257,2022-08-14,1410,qr_order
501,25,756,2023-08-20,1246,ec_order
502,191,853,2021-03-17,2869,ec_order
503,179,-822,2022-01-11,1213,mobile_order
504,189,530,2023-02-16,1193,mobile_order
505,249,86,2022-09-11,117,ec_order
506,74,-267,2021-07-08,1313,ec_order
507,248,982,2023-08-02,1692,qr_order
508,70,-90,2021-05-03,2527,ec_order
509,211,924,2021-08-23,2827,qr_order
510,228,-12,2023-02-08,206,ec_order
511,282,497,2021-12-05,2483,qr_order
512,45,592,2022-02-12,2044,qr_order
513,111,-14,2023-03-08,2680,ec_order
514,230,262,2023-08-10,1741,qr_order
515,44,734,2021-08-30,1360,ec_order
516,289,-58,2021-08-20,2011,qr_order
517,93,497,2022-06-13,1516,qr_order
518,247,798,2022-10-28,34,qr_order
519,67,-494,2023-04-08,2540,mobile_order
520,153,614,2021-04-29,1508,ec_order
521,8,504,2022-06-14,1916,ec_order
522,91,-749,2023-07-12,1291,ec_order
523,277,-35,2021-12-12,1034,qr_order
524,88,-391,2023-11-20,964,qr_order
525,254,60,2022-09-23,1655,ec_order
526,131,-932,2021-02-14,103,qr_order
527,150,144,2023-11-08,107,qr_order
528,300,-828,2021-11-23,1757,ec_order
529,246,-986,2021-10-03,2223,mobile_order
530,144,304,2023-10-15,178,qr_order
531,242,-196,2022-06-18,826,qr_order
532,153,-265,2021-07-19,2274,mobile_order
533,208,251,2022-11-21,1217,ec_order
534,26,-638,2022-01-18,1526,mobile_order
535,75,-758,2022-07-09,2803,mobile_order
536,46,827,2021-01-10,1500,ec_order
537,74,482,2021-01-06,2132,qr_order
538,6,602,2023-01-12,164,qr_order
539,150,-64,2022-12-16,4,mobile_order
540,84,-850,2023-02-06,686,ec_order
541,158,-41,2021-01-11,1799,qr_order
542,29,807,2023-10-03,1499,ec_order
543,183,-523,2022-11-30,741,qr_order
544,271,539,2023-05-11,2166,ec_order
545,14,622,2021-04-02,74,qr_order
546,266,359,2023-06-17,930,qr_order
547,122,-148,2023-04-20,2218,qr_order
548,118,306,2023-05-28,1046,ec_order
549,225,479,2021-06-06,2696,ec_order
550,11,215,2023-05-02,231,qr_order
551,228,43,2021-06-17,1749,mobile_order
552,213,-684,2021-05-18,2469,mobile_order
553,69,-561,2022-01-11,1761,qr_order
554,144,-921,2023-12-07,1083,mobile_order
555,232,845,2023-12-01,518,mobile_order
556,192,270,2021-06-17,2974,mobile_order
557,148,200,2023-08-06,1817,qr_order
558,42,911,2022-07-24,2712,qr_order
559,174,877,2023-07-30,461,mobile_order
560,81,540,2021-07-29,1675,qr_order
561,252,557,2022-04-24,2298,ec_order
562,257,-223,2023-03-25,1359,ec_order
563,272,-590,2021-12-05,2532,qr_order
564,287,-242,2022-05-25,2949,ec_order
565,237,573,2022-08-12,1565,ec_order
566,125,131,2022-11-15,1014,ec_order
567,210,61,2022-11-11,1428,mobile_order
568,152,839,2023-08-11,1717,qr_order
569,285,576,2021-04-03,2163,mobile_order
570,31,53,2022-12-06,418,mobile_order
571,287,113,2023-08-30,869,ec_order
572,14,869,2023-07-28,2211,mobile_order
573,27,474,2022-05-22,1414,qr_order
574,154,-78,2022-01-08,1279,ec_order
575,269,119,2021-09-16,1995,qr_order
576,156,783,2023-01-19,1100,ec_order
577,222,-673,2022-09-09,1843,ec_order
578,22,-374,2022-11-03,1962,mobile_order
579,298,-277,2021-03-26,2749,mobile_order
580,195,66,2023-04-25,1699,qr_order
581,48,962,2022-10-21,2787,qr_order
582,17,-392,2022-05-17,101,ec_order
583,43,810,2023-06-03,2760,ec_order
584,147,733,2023-07-19,2327,mobile_order
585,231,-847,2023-08-26,2898,mobile_order
586,63,-519,2022-08-22,1967,ec_order
587,84,-461,2023-05-01,2450,qr_order
588,124,-807,2021-03-26,5,qr_order
589,8,-671,2021-07-16,2827,ec_order
590,85,-452,2023-05-09,1616,ec_order
591,188,-998,2021-12-13,2257,qr_order
592,228,-328,2021-10-29,455,qr_order
593,286,-715,2023-07-05,2146,mobile_order
594,284,417,2022-10-24,718,mobile_order
595,44,834,2022-06-07,631,qr_order
596,7,-336,2023-09-29,442,ec_order
597,223,283,2023-11-01,1484,ec_order
598,131,54,2021-07-07,1820,ec_order
599,110,-648,2021-03-07,1489,qr_order
600,299,193,2023-02-08,1296,qr_order
601,205,229,2023-10-24,2791,mobile_order
602,60,-970,2022-02-06,1103,mobile_order
603,188,-520,2023-04-17,423,mobile_order
604,258,-101,2023-02-26,1918,mobile_order
605,30,38,2022-08-13,1784,qr_order
606,36,497,2022-12-17,2224,qr_order
607,79,-868,2022-12-30,2994,qr_order
608,96,899,2023-12-10,1414,mobile_order
609,144,132,2022-05-09,547,mobile_order
610,114,110,2022-07-17,1948,qr_order
611,122,-405,2021-12-25,1300,ec_order
612,33,-856,2021-07-25,1568,mobile_order
613,78,634,2022-06-02,479,qr_order
614,228,361,2021-08-04,915,qr_order
615,155,-140,2022-05-15,1475,mobile_order
616,125,133,2022-04-05,1597,mobile_order
617,73,-791,2023-05-28,559,mobile_order
618,261,-258,2023-02-26,260,ec_order
619,208,-582,2023-01-23,2940,mobile_order
620,52,494,2022-12-07,1040,mobile_order
621,11,-411,2022-01-16,2459,ec_order
622,135,853,2021-01-18,64,mobile_order
623,161,-935,2023-05-23,2077,ec_order
624,103,631,2023-05-18,1597,qr_order
625,22,-854,2023-04-17,891,mobile_order
626,192,-405,2022-02-09,1690,mobile_order
627,280,-704,2021-03-03,521,mobile_order
628,248,289,2021-01-10,659,mobile_order
629,257,869,2021-02-18,2120,ec_order
630,16,78,2022-06-28,912,ec_order
631,237,-503,2023-12-13,1401,mobile_order
632,158,504,2022-11-16,2220,mobile_order
633,204,199,2022-07-31,2966,qr_order
634,84,344,2022-07-16,2633,ec_order
635,195,-55,2023-10-02,954,mobile_order
636,2,-818,2021-12-19,800,ec_order
637,83,-477,2021-03-26,912,mobile_order
638,118,177,2023-07-08,1668,mobile_order
639,18,-296,2022-03-30,389,qr_order
640,217,-433,2022-07-19,1157,qr_order
641,120,638,2023-08-19,2079,qr_order
642,226,-823,2022-08-07,2825,mobile_order
643,139,802,2023-01-28,297,mobile_order
644,213,-191,2023-10-10,1335,mobile_order
645,169,168,2023-06-07,2156,qr_order
646,275,-107,2022-05-21,699,qr_order
647,73,-481,2021-08-08,202,mobile_order
648,280,944,2021-08-25,1866,qr_order
649,127,-570,2021-09-18,1404,qr_order
650,296,130,2023-01-18,1590,qr_order
